City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Broken Hill,AU,-31.95,141.4333,74.91,69,100,5.75,moderate rain
287,Tezu,IN,27.9167,96.1667,52.74,91,100,4.36,overcast clouds
288,Galesong,ID,-5.3166,119.3661,75.22,84,87,7.85,overcast clouds
289,Sfantu Gheorghe,RO,45.8667,25.7833,26.92,96,100,0.56,overcast clouds
290,Kulhudhuffushi,MV,6.6221,73.07,81.72,72,0,10.69,clear sky
291,Grindavik,IS,63.8424,-22.4338,41.47,81,75,28.77,broken clouds
292,Mitsamiouli,KM,-11.3847,43.2844,81.72,73,12,1.74,few clouds
293,Grand-Lahou,CI,5.1367,-5.0242,80.04,84,96,7.23,overcast clouds
294,Avera,US,33.194,-82.5271,62.11,37,95,8.66,overcast clouds
295,Santa Rosa,PH,14.3122,121.1114,78.78,76,62,12.15,broken clouds
296,Berdyaush,RU,55.1619,59.1464,14.04,96,100,3.4,overcast clouds
297,Berlevag,NO,70.8578,29.0864,17.6,67,0,11.5,clear sky
298,Talcahuano,CL,-36.7167,-73.1167,64.24,63,0,17.16,clear sky
299,Yarada,IN,17.65,83.2667,68.32,100,20,2.3,mist
300,Pitimbu,BR,-7.4706,-34.8086,81.19,72,24,10.33,few clouds
301,Tasiilaq,GL,65.6145,-37.6368,1.51,98,98,3.91,overcast clouds
302,Te Anau,NZ,-45.4167,167.7167,63.0,73,82,1.12,broken clouds
303,Nome,US,64.5011,-165.4064,12.27,48,0,11.5,clear sky
304,Pereslavl-Zalesskiy,RU,56.7393,38.8563,27.39,97,100,9.1,snow
305,Selikhino,RU,50.3672,137.4996,-4.04,98,100,4.94,overcast clouds
306,Pareora,NZ,-44.4871,171.2132,64.18,97,100,7.74,overcast clouds
307,Hambantota,LK,6.1241,81.1185,75.76,81,4,15.97,clear sky
308,Nagato,JP,34.3833,131.2,39.11,65,76,17.6,broken clouds
309,Pinyug,RU,60.251,47.7842,6.71,97,69,6.6,broken clouds
310,Torremolinos,ES,36.6204,-4.4998,63.95,32,0,11.5,clear sky
311,De-Kastri,RU,51.4667,140.7833,6.17,83,100,17.6,overcast clouds
312,Constitucion,CL,-35.3333,-72.4167,67.37,58,0,14.92,clear sky
313,Aktau,KZ,43.65,51.2,32.58,85,91,7.72,overcast clouds
314,Dunmore,US,41.4198,-75.6324,32.09,48,0,1.99,light snow
315,Wadi Maliz,TN,36.4681,8.5495,55.06,79,24,18.9,few clouds
316,Yongan,CN,39.6957,113.6871,7.41,78,1,1.68,clear sky
317,Raudeberg,NO,61.9875,5.1352,31.87,91,100,1.99,overcast clouds
318,Novovasylivka,UA,46.8315,35.7536,32.56,85,94,10.65,overcast clouds
319,Canutama,BR,-6.5339,-64.3831,83.3,78,79,2.51,broken clouds
320,Manicore,BR,-5.8092,-61.3003,78.94,94,86,1.74,overcast clouds
321,Jacareacanga,BR,-6.2222,-57.7528,80.69,88,100,1.66,overcast clouds
322,Namtsy,RU,62.7161,129.6658,-20.09,100,100,2.19,overcast clouds
323,Okha,RU,53.5739,142.9478,3.78,91,99,25.3,overcast clouds
324,Hisor,TJ,38.525,68.5512,35.35,62,44,3.22,scattered clouds
325,Taman,RU,45.2117,36.7161,35.92,69,100,9.66,overcast clouds
326,Charters Towers,AU,-20.1,146.2667,75.06,82,41,8.79,scattered clouds
327,Dakar,SN,14.6937,-17.4441,72.48,83,99,11.5,dust
328,Gushikawa,JP,26.3544,127.8686,58.23,79,100,4.61,overcast clouds
329,Bereda,ES,43.2686,-7.5406,46.92,96,43,8.14,scattered clouds
330,Hualmay,PE,-11.0964,-77.6139,74.53,73,100,10.11,overcast clouds
331,Atambua,ID,-9.1061,124.8925,73.98,86,97,10.27,overcast clouds
332,Khani,GE,41.9563,42.9566,31.57,79,100,7.56,overcast clouds
333,Amapa,BR,1.0,-52.0,73.74,97,100,2.84,light rain
334,Noblesville,US,40.0456,-86.0086,40.84,54,84,1.99,broken clouds
335,Faya,SA,18.3851,42.4509,57.31,79,2,6.17,clear sky
336,Santa Cruz De La Palma,ES,28.6835,-17.7642,62.74,59,6,8.05,clear sky
337,Palmer,US,42.1584,-72.3287,30.76,39,20,3.44,few clouds
338,Changli,CN,39.7042,119.1506,16.11,74,2,5.59,clear sky
339,Sakaraha,MG,-22.9,44.5333,74.59,47,13,6.78,few clouds
340,Surt,LY,31.2089,16.5887,56.23,45,0,14.32,clear sky
341,Russell,US,32.3502,-85.1999,67.51,28,0,8.05,clear sky
342,Salalah,OM,17.0151,54.0924,71.69,68,0,5.75,clear sky
