City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Saint George,US,2022-01-30 00:16:39,37.1041,-113.5841,58.35,16,0,1.01
236,Los Llanos De Aridane,ES,2022-01-30 00:20:40,28.6585,-17.9182,58.75,75,100,7.0
237,Cerna,RO,2022-01-30 00:20:40,45.0833,28.3167,27.99,84,81,6.13
238,Olinda,BR,2022-01-30 00:18:25,-8.0089,-34.8553,78.53,83,75,2.3
239,Sitka,US,2022-01-30 00:20:42,57.0531,-135.33,37.29,60,75,10.36
240,Berlevag,NO,2022-01-30 00:20:43,70.8578,29.0864,20.89,75,93,1.9
241,Marataizes,BR,2022-01-30 00:20:44,-21.0433,-40.8244,77.13,86,65,11.14
242,Ndola,ZM,2022-01-30 00:20:44,-12.9587,28.6366,63.05,98,100,3.33
243,Dauphin,CA,2022-01-30 00:20:45,51.1494,-100.0502,8.74,78,100,5.75
244,Morondava,MG,2022-01-30 00:20:46,-20.2833,44.2833,78.31,83,0,6.87
245,Kugulta,RU,2022-01-30 00:20:46,45.3636,42.3889,32.58,96,91,11.27
246,Evensk,RU,2022-01-30 00:20:48,61.95,159.2333,18.57,78,100,10.78
247,Tabou,CI,2022-01-30 00:19:33,4.423,-7.3528,79.21,88,35,5.08
248,Nagorsk,RU,2022-01-30 00:20:49,59.3172,50.8078,5.36,98,100,3.89
249,Thompson,CA,2022-01-30 00:18:55,55.7435,-97.8558,-9.24,84,20,2.3
250,Bakchar,RU,2022-01-30 00:20:51,57.0186,82.0711,-8.75,100,81,3.22
251,Mogocha,RU,2022-01-30 00:20:51,53.7333,119.7667,-14.42,95,10,3.94
252,Salisbury,GB,2022-01-30 00:17:58,51.0693,-1.7957,42.48,85,43,2.3
253,Bireun,ID,2022-01-30 00:20:53,5.203,96.7009,75.61,85,74,3.27
254,Laguna,US,2022-01-30 00:20:53,38.421,-121.4238,66.29,42,0,3.0
255,Regina,CA,2022-01-30 00:20:04,50.4501,-104.6178,19.4,85,20,4.61
256,Pacific Grove,US,2022-01-30 00:20:55,36.6177,-121.9166,67.6,57,0,4.0
257,Fremont,US,2022-01-30 00:19:44,37.5483,-121.9886,66.96,55,40,1.99
258,Buala,SB,2022-01-30 00:20:56,-8.145,159.5921,85.69,68,100,7.45
259,Kysyl-Syr,RU,2022-01-30 00:20:57,63.8986,122.7617,-18.78,100,100,3.91
260,Sinnamary,GF,2022-01-30 00:20:57,5.3833,-52.95,76.17,86,86,8.39
261,Belyy Yar,RU,2022-01-30 00:20:58,53.6039,91.3903,-18.51,68,75,2.24
262,Haines Junction,CA,2022-01-30 00:20:59,60.7522,-137.5108,12.15,67,100,10.36
263,Camacha,PT,2022-01-30 00:20:59,33.0833,-16.3333,60.22,88,40,8.05
264,Negombo,LK,2022-01-30 00:21:00,7.2083,79.8358,75.49,89,43,5.37
265,Naze,JP,2022-01-30 00:21:01,28.3667,129.4833,56.32,76,98,12.68
266,Kologriv,RU,2022-01-30 00:21:02,58.8275,44.3178,9.7,98,97,4.18
267,Nabire,ID,2022-01-30 00:20:08,-3.3667,135.4833,80.89,76,97,1.97
268,Darab,IR,2022-01-30 00:21:02,28.7519,54.5444,50.74,48,28,2.37
269,Moctezuma,MX,2022-01-30 00:21:04,29.8,-109.6667,71.51,25,4,1.81
270,Maniitsoq,GL,2022-01-30 00:21:05,65.4167,-52.9,8.55,74,100,25.1
271,Ternate,ID,2022-01-30 00:21:05,0.8,127.4,80.49,80,86,5.61
272,Ixtapa,MX,2022-01-30 00:17:07,20.7,-105.2,76.23,69,0,4.61
273,Novikovo,RU,2022-01-30 00:21:07,51.1537,37.8879,22.96,95,99,10.25
274,Pingliang,CN,2022-01-30 00:21:26,35.5392,106.6861,13.3,77,16,7.61
275,Saint-Pierre,RE,2022-01-30 00:22:08,-21.3393,55.4781,74.88,78,11,9.22
276,Bathsheba,BB,2022-01-30 00:22:09,13.2167,-59.5167,77.61,69,40,16.11
